start	86	2000	1	7	0
	32	101	45.000000	52.528617	-3.175188e+00	2000	1	7	0
	36	103	50.625000	55.330112	-3.971838e+00	2000	1	7	6
	36	103	50.625000	55.330112	-4.162117e+00	2000	1	7	7
	36	103	50.625000	55.330112	-4.331914e+00	2000	1	7	8
	38	103	53.437500	55.330112	-4.525260e+00	2000	1	7	9
	38	103	53.437500	55.330112	-4.789688e+00	2000	1	7	10
	39	103	54.843750	55.330112	-4.950663e+00	2000	1	7	11
	39	103	54.843750	55.330112	-5.150898e+00	2000	1	7	12
	40	103	56.250000	55.330112	-5.358825e+00	2000	1	7	13
	40	103	56.250000	55.330112	-5.558613e+00	2000	1	7	14
	41	104	57.656250	56.730857	-5.679896e+00	2000	1	7	15
	42	103	59.062500	55.330112	-5.911958e+00	2000	1	7	16
	42	103	59.062500	55.330112	-6.084610e+00	2000	1	7	17
	43	104	60.468750	56.730857	-6.347565e+00	2000	1	7	18
	44	104	61.875000	56.730857	-6.598811e+00	2000	1	7	19
	44	104	61.875000	56.730857	-6.804903e+00	2000	1	7	20
	45	104	63.281250	56.730857	-7.104980e+00	2000	1	7	21
	46	104	64.687500	56.730857	-7.306220e+00	2000	1	7	22
	47	104	66.093750	56.730857	-7.558886e+00	2000	1	7	23
	47	105	66.093750	58.131598	-7.745351e+00	2000	1	8	0
	49	105	68.906250	58.131598	-7.926595e+00	2000	1	8	1
	49	105	68.906250	58.131598	-8.142368e+00	2000	1	8	2
	50	104	70.312500	56.730857	-8.237255e+00	2000	1	8	3
	51	105	71.718750	58.131598	-8.491482e+00	2000	1	8	4
	51	105	71.718750	58.131598	-8.607967e+00	2000	1	8	5
	53	105	74.531250	58.131598	-8.739010e+00	2000	1	8	6
	53	105	74.531250	58.131598	-8.959671e+00	2000	1	8	7
	54	105	75.937500	58.131598	-8.994032e+00	2000	1	8	8
	55	106	77.343750	59.532337	-9.229923e+00	2000	1	8	9
	55	105	77.343750	58.131598	-9.252303e+00	2000	1	8	10
	57	106	80.156250	59.532337	-9.377013e+00	2000	1	8	11
	57	106	80.156250	59.532337	-9.427972e+00	2000	1	8	12
	58	106	81.562500	59.532337	-9.435126e+00	2000	1	8	13
	59	106	82.968750	59.532337	-9.489684e+00	2000	1	8	14
	60	106	84.375000	59.532337	-9.525756e+00	2000	1	8	15
	61	106	85.781250	59.532337	-9.555715e+00	2000	1	8	16
	62	106	87.187500	59.532337	-9.654078e+00	2000	1	8	17
	62	106	87.187500	59.532337	-9.687737e+00	2000	1	8	18
	64	106	90.000000	59.532337	-9.807414e+00	2000	1	8	19
