lc,track_id,time_iso,day_hour,lon,lat,pv_anom_330,area_deg2
lc1,0,2000-01-09T04:00:00,196.0,0.5391,57.2937,1.432695e-01,170.879
lc1,0,2000-01-09T06:00:00,198.0,1.3377,56.9134,2.597189e-01,191.238
lc1,0,2000-01-09T07:00:00,199.0,1.6932,56.6938,2.933307e-01,202.736
lc1,0,2000-01-09T08:00:00,200.0,2.0782,56.2343,3.542280e-01,214.153
lc1,0,2000-01-09T11:00:00,203.0,3.3020,55.4333,5.190945e-01,248.302
lc1,0,2000-01-09T12:00:00,204.0,3.7428,55.1888,5.657353e-01,252.048
lc1,0,2000-01-09T13:00:00,205.0,4.2657,54.9592,5.779800e-01,259.526
lc1,0,2000-01-09T14:00:00,206.0,4.7989,54.7551,5.931115e-01,268.313
lc1,0,2000-01-09T15:00:00,207.0,5.4074,54.4974,5.900497e-01,273.928
lc1,0,2000-01-09T16:00:00,208.0,6.0284,54.2390,5.839972e-01,271.895
lc1,0,2000-01-09T17:00:00,209.0,6.7507,53.9260,5.767636e-01,278.654
lc1,0,2000-01-09T18:00:00,210.0,7.5701,53.5896,5.815539e-01,279.286
lc1,0,2000-01-09T19:00:00,211.0,8.4487,53.2490,5.686178e-01,278.962
lc1,0,2000-01-09T20:00:00,212.0,9.3893,52.8764,5.562072e-01,278.334
lc1,0,2000-01-09T21:00:00,213.0,10.3921,52.4970,5.491486e-01,274.734
lc1,0,2000-01-09T22:00:00,214.0,11.4282,52.1307,5.526686e-01,269.936
lc1,0,2000-01-09T23:00:00,215.0,12.5502,51.8462,5.435905e-01,265.748
lc1,0,2000-01-10T00:00:00,216.0,13.6972,51.5955,5.429673e-01,265.689
lc1,0,2000-01-10T01:00:00,217.0,14.8120,51.3260,5.397482e-01,259.733
lc1,0,2000-01-10T02:00:00,218.0,16.0164,51.1364,5.393519e-01,255.778
lc1,0,2000-01-10T03:00:00,219.0,17.2408,50.9253,5.711951e-01,256.588
lc1,0,2000-01-10T04:00:00,220.0,18.5988,50.7718,5.742540e-01,253.852
lc1,0,2000-01-10T05:00:00,221.0,19.9586,50.6286,5.746794e-01,254.160
lc1,0,2000-01-10T06:00:00,222.0,21.3964,50.5239,5.811319e-01,253.641
lc1,0,2000-01-10T07:00:00,223.0,22.8908,50.4433,5.907822e-01,252.790
lc1,0,2000-01-10T08:00:00,224.0,24.4804,50.3730,5.847859e-01,253.162
lc1,0,2000-01-10T09:00:00,225.0,26.0768,50.3689,5.838909e-01,256.132
lc1,0,2000-01-10T10:00:00,226.0,27.7686,50.3669,5.702243e-01,256.275
lc1,0,2000-01-10T11:00:00,227.0,29.4849,50.3650,5.746741e-01,255.348
lc1,0,2000-01-10T12:00:00,228.0,31.2032,50.4011,5.622234e-01,254.320
lc1,0,2000-01-10T13:00:00,229.0,32.9575,50.3575,5.761852e-01,253.170
lc1,0,2000-01-10T14:00:00,230.0,34.7394,50.3804,6.031327e-01,248.897
lc1,0,2000-01-10T15:00:00,231.0,36.5291,50.3647,6.098809e-01,243.047
lc1,0,2000-01-10T16:00:00,232.0,38.3464,50.3505,6.356091e-01,241.456
lc1,0,2000-01-10T17:00:00,233.0,40.1673,50.3379,6.401510e-01,239.020
lc1,0,2000-01-10T18:00:00,234.0,41.9750,50.2939,6.517987e-01,238.030
lc1,0,2000-01-10T19:00:00,235.0,43.7916,50.2949,6.472917e-01,237.753
lc1,0,2000-01-10T20:00:00,236.0,45.5699,50.2788,6.449566e-01,231.885
lc1,0,2000-01-10T21:00:00,237.0,47.2533,50.2107,6.503129e-01,236.557
lc1,0,2000-01-10T22:00:00,238.0,48.9081,50.1252,6.509147e-01,235.565
lc1,0,2000-01-10T23:00:00,239.0,50.4839,50.0309,6.458430e-01,229.722
lc1,0,2000-01-11T00:00:00,240.0,51.9832,49.8889,6.453085e-01,225.327
lc1,0,2000-01-11T01:00:00,241.0,53.4354,49.7691,6.399918e-01,223.891
lc1,0,2000-01-11T02:00:00,242.0,54.8805,49.6404,6.148272e-01,222.613
lc1,0,2000-01-11T03:00:00,243.0,56.3567,49.5291,6.121807e-01,216.742
lc1,0,2000-01-11T04:00:00,244.0,57.8601,49.4388,6.199188e-01,216.970
lc1,0,2000-01-11T05:00:00,245.0,59.4242,49.3544,6.422029e-01,215.788
