start	49	2000	1	7	3
	66	99	92.812500	49.727115	-1.554432e-01	2000	1	7	3
	66	98	92.812500	48.326361	-1.670780e-01	2000	1	7	5
	67	98	94.218750	48.326361	-1.825471e-01	2000	1	7	7
	68	98	95.625000	48.326361	-1.884193e-01	2000	1	7	8
	68	97	95.625000	46.925606	-1.953397e-01	2000	1	7	9
	69	97	97.031250	46.925606	-2.052765e-01	2000	1	7	10
	70	96	98.437500	45.524850	-2.160163e-01	2000	1	7	13
	71	99	99.843750	49.727115	-2.296052e-01	2000	1	7	15
	73	99	102.656250	49.727115	-2.448092e-01	2000	1	7	17
	74	98	104.062500	48.326361	-2.614880e-01	2000	1	7	19
	75	99	105.468750	49.727115	-2.695866e-01	2000	1	7	20
	76	98	106.875000	48.326361	-2.762027e-01	2000	1	7	21
	76	98	106.875000	48.326361	-2.757907e-01	2000	1	7	22
	76	97	106.875000	46.925606	-2.851748e-01	2000	1	7	23
	76	97	106.875000	46.925606	-2.920165e-01	2000	1	8	0
	78	100	109.687500	51.127867	-2.986360e-01	2000	1	8	1
	80	100	112.500000	51.127867	-3.220592e-01	2000	1	8	4
	82	97	115.312500	46.925606	-3.471775e-01	2000	1	8	7
	83	96	116.718750	45.524850	-3.694568e-01	2000	1	8	10
	85	97	119.531250	46.925606	-3.738775e-01	2000	1	8	11
	85	96	119.531250	45.524850	-3.851976e-01	2000	1	8	12
	86	96	120.937500	45.524850	-3.935027e-01	2000	1	8	13
	87	97	122.343750	46.925606	-4.008923e-01	2000	1	8	14
	86	95	120.937500	44.124093	-4.137154e-01	2000	1	8	15
	88	96	123.750000	45.524850	-4.276485e-01	2000	1	8	16
	89	97	125.156250	46.925606	-4.400544e-01	2000	1	8	17
	91	98	127.968750	48.326361	-4.503474e-01	2000	1	8	18
	91	98	127.968750	48.326361	-4.549718e-01	2000	1	8	19
	90	97	126.562500	46.925606	-4.656630e-01	2000	1	8	20
	92	97	129.375000	46.925606	-4.755044e-01	2000	1	8	21
	92	97	129.375000	46.925606	-4.854093e-01	2000	1	8	22
	94	98	132.187500	48.326361	-4.932337e-01	2000	1	8	23
	95	99	133.593750	49.727115	-4.996057e-01	2000	1	9	0
	93	96	130.781250	45.524850	-5.069895e-01	2000	1	9	1
	96	98	135.000000	48.326361	-5.180597e-01	2000	1	9	2
	99	100	139.218750	51.127867	-5.223622e-01	2000	1	9	3
	98	99	137.812500	49.727115	-5.245113e-01	2000	1	9	4
	97	98	136.406250	48.326361	-5.340176e-01	2000	1	9	5
	99	99	139.218750	49.727115	-5.424852e-01	2000	1	9	6
	101	99	142.031250	49.727115	-5.385609e-01	2000	1	9	7
	100	98	140.625000	48.326361	-5.447969e-01	2000	1	9	8
	100	98	140.625000	48.326361	-5.501046e-01	2000	1	9	9
	99	96	139.218750	45.524850	-5.455523e-01	2000	1	9	10
	103	98	144.843750	48.326361	-5.574894e-01	2000	1	9	12
	103	97	144.843750	46.925606	-5.526299e-01	2000	1	9	13
	103	97	144.843750	46.925606	-5.479841e-01	2000	1	9	14
	103	97	144.843750	46.925606	-5.450478e-01	2000	1	9	15
	103	96	144.843750	45.524850	-5.404940e-01	2000	1	9	16
	105	97	147.656250	46.925606	-5.339584e-01	2000	1	9	17
start	49	2000	1	7	3
	194	99	272.812500	49.727115	-1.554432e-01	2000	1	7	3
